																															3
																															3
																															3
																															3
																															3
																															3
																															3
																															3
																															3
																															3
																															3
																															3
																						9	9	9	9	9	9	9	9	9	3
																															3
																															3
																									6	11	10	10	10	10	3
																															3
																											11	10	10	10	3
																															3
																												11	10	10	3
																															3
																													11	10	3
																														1	0
																														1	0
																								11	10	10	10	10	10	1	0
																												7		1	0
																														1	0
																														1	0
																										11	10	10	1	0	0
																													1	0	0
																															3
																									11	10	10	10	10	10	3
																									11	10	10	10	10	1	0
																														1	0
																														1	0
																													1	0	0
																													1	0	0
																														1	0
																															3
																															3
																													1	0	0
																													1	0	0
																										11	10	10	1	0	0
																										11	10	10	1	0	0
																									6	11	10	10	10	10	1
																										11	10	10			20
																										11					1
																															1
																														12	1
																											1	0	0	0	0
																											1	0	0	0	0
																												1	0	0	0
																													20	0	0
																											11	10	1	0	0
																											11	10	1	0	0
																											11	10	1	0	0
																														3	2
																						15	11	10	10	10	10	10	10	3	2
																												1	0	0	0
																									6	11	10	1	0	0	0
																											1	0	0	0	0
																													1	0	0
																												1	0	0	0
																												1	0	0	0
																												1	0	0	0
																											12	1	0	0	0
																								11	10	10	10	10	20	0	0
																								11	10	10	10	10	20	0	0
																														3	2
																											201	10	10	3	2
																										1	0	0	0	0	0
																										1	0	0	0	0	0
																										1	0	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																															3
																												1	0	0	0
																											12	1	0	0	0
																													1	0	0
																								11							3
																							11	10	19						3
																							11	10	19					1	0
																							11	10	19					1	0
																								11	10	10	10			1	0
																								11	10	10	10		6	1	0
																									11	10	10	10	10	1	0
																											20	0	0	0	0
																											20	0	0	0	0
																										1	0	0	0	0	0
																										1	0	0	0	0	0
																														3	2
																												1	0	0	0
																														3	2
																													1	0	0
																														3	2
																													1	0	0
																													1	0	0
																													1	0	0
																												1	0	0	0
																												1	0	0	0
																					11	10	10						1	0	0
																				6	11	10	10	10					1	0	0
																					11	10	10	10					1	0	0
																					11	10	10	10	19					11	10
																					11	10	10	10							20
																					11	10	10	10						1	0
																					11	10	10	10	19						20
																					11	10	10	10							20
																					11	10	10	10						1	0
																					11	10	10	10	19						20
																					11	10	10	10							20
																					11	10	10	10	19					1	0
																					11	10	10							1	0
																					11								1	0	0
																												1	0	0	0
																						12	11	10	10	10	1	0	0	0	0
																							11	10	10	1	0	0	0	0	0
																								11	10	1	0	0	0	0	0
																									1	0	0	0	0	0	0
																										1	0	0	0	0	0
																										1	0	0	0	0	0
																													3	2	2
																												41	3	2	2
																													3	2	2
																												41	3	2	2
																													3	2	2
																												41	3	2	2
																													3	2	2
																												41	3	2	2
																													3	2	2
																												1	0	0	0
																														1	0
																														1	0
																														1	0
																										11	10	10	10	1	0
																										11	10			1	0
																									11	10			12	1	0
																									11	10					20
																															20
																									11	10					20
																															20
																											6	1	0		20
																									11	10					20
																									11	10		1	0		20
																									11	10	1	0	0		20
																										1	0	0			20
																										1	0				20
																										1	0				20
																															20
																												1	0	0	0
																												1	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																										1	0	0	0	0	0
																										1	0	0	0	0	0
																														20	0
																											11	10	10	20	0
																				15	11	10	10	10	10	10	10	10	10	20	0
																													11	20	0
																											11	10	10	20	0
																														20	0
																														20	0
																										6	11	10	1	0	0
																												1	0	0	0
																												1	0	0	0
																												1	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																										8	1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
								9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
																											1	0	0	0	0
