						3	2	2	2
						3	2	2	2
						3	2	2	2
						3	2	2	2
						3	2	2	2
					1	0	0	0	0
					1	0	0	0	0
				7	1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
						3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					41	3	2	2	2
						3	2	2	2
						3	2	2	2
					42	3	2	2	2
						3	2	2	2
						3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					41	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					43	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					42	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					41	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					41	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					42	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					41	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					43	3	2	2	2
						3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					1	0	0	0	0
						3	2	2	2
						3	2	2	2
					41	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					4	3	2	2	2
						3	2	2	2
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
					1	0	0	0	0
